CU WBS #,CU,Unit Of Measure,Description,Compatible Unit Group,Install Hours,Removal Hours,Transfer Hours,Install Price,Removal Price,Transfer Price
CU-4473,UXFR-500-35-480-DL-T,EA,"UXFR,500,34.5Y,480/277,DL,Taps",UXFR-3-M,6.6912,5.0184,0.0000,$903.31,$677.48,$0.00
CU-4474,UXFR-75-12-208-DL-H-NC,EA,"UXFR,75KVA,12.4Y,208/120,DL,HI,NT Corr",UXFR-1-S,3.4136,2.5432,0.0000,$289.66,$216.65,$0.00
CU-4475,UXFR-75-12-208-DR-N,EA,"UXFR,75,12.4Y,208/120,DR,No Taps",UXFR-1-S,3.4136,2.5432,0.0000,$289.66,$216.65,$0.00
CU-4476,UXFR-75-13S-120-DL-L-N,EA,"UXFR,75,13.2,1 PH,120/240,DL,Lo,No Taps",UXFR-1-S,2.0400,1.6048,0.0000,$289.66,$216.65,$0.00
CU-4477,UXFR-75-19-120-DL-H-N,EA,"UXFR,75,19.9Y,120/240,DL,Hi,No Taps",UXFR-1-S,2.0400,1.6048,0.0000,$289.66,$216.65,$0.00
CU-4478,UXFR-75-72-120-DL-H-N,EA,"UXFR,75,7.2Y,120/240,DL,Hi,No Taps",UXFR-1-S,2.0400,1.6048,0.0000,$289.66,$216.65,$0.00
CU-4479,UXFR-75-72-120-DL-H-NC,EA,"UXFR,75,7.2Y,120/240,DL,Hi,NT Corr",UXFR-1-S,2.0400,1.6048,0.0000,$289.66,$216.65,$0.00
CU-4480,UXFR-75-72-120-DL-L-N,EA,"UXFR,75,7.2Y,120/240,DL,Lo,No Taps",UXFR-1-S,2.0400,1.6048,0.0000,$289.66,$216.65,$0.00
CU-4481,UXFR-75-76-120-DL-L-N,EA,"UXFR,75,7.6Y,120/240,DL,Lo,No Taps",UXFR-1-S,2.0400,1.6048,0.0000,$289.66,$216.65,$0.00
CU-4482,UXFR-750-12-208-DL-N,EA,"UXFR,750,12.4Y,208/120,DL,No Taps",UXFR-3-L,10.9072,8.1464,0.0000,"$1,767.70","$1,224.00",$0.00
CU-4483,UXFR-750-12-480-DL-H-TC,EA,"UXFR,750KVA,12.4Y,480/277,DL,HI,Tps Corr",UXFR-3-L,10.9072,8.1464,0.0000,"$1,767.70","$1,224.00",$0.00
CU-4484,UXFR-750-12-480-DL-T,EA,"UXFR,750,12.4Y,480/277,DL,Taps",UXFR-3-L,10.9072,8.1464,0.0000,"$1,767.70","$1,224.00",$0.00
CU-4485,UXFR-750-12-480-DR-T,EA,"UXFR,750,12.4Y,480/277,DR,Taps",UXFR-3-L,10.9072,8.1464,0.0000,"$1,767.70","$1,224.00",$0.00
CU-4486,UXFR-750-13-208-DL-N,EA,"UXFR,750,13.2Y,208/120,DL,No Taps",UXFR-3-L,10.9072,8.1464,0.0000,"$1,767.70","$1,224.00",$0.00
CU-4487,UXFR-750-13-480-DL-T,EA,"UXFR,750,13.2Y,480/277,DL,Taps",UXFR-3-L,10.9072,8.1464,0.0000,"$1,767.70","$1,224.00",$0.00
CU-4488,UXFR-750-35-480-DL-T,EA,"UXFR,750,34.5Y,480/277,DL,Taps",UXFR-3-L,10.9072,8.1464,0.0000,"$1,767.70","$1,224.00",$0.00
CU-4489,UXST-CS6-1-500,EA,"UXST,Covered Set Screw 6Pos.,1"",500",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4490,UXST-CS6-58-350,EA,"UXST,Covered Set Screw 6Pos.,5/8"",350",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4491,UXST-EX8,EA,"UXST,Extension Bar, 8 hole",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4492,UXST-SMS6-1K,EA,"UXST,Spade Mntd Set Screw 6 Pos,500-1000",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4493,UXST-SP-1,EA,"UXST,Spade,1""(100-167kva)",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4494,UXST-SP-58,EA,"UXST,Spade,5/8""(for up to 75kva)",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4495,UXST-SS4-1-750,EA,"UXST,Set Screw Strght Bar 4Pos.,1"",750",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4496,UXST-SS8-1-500,EA,"UXST,Set Screw Strght Bar 8Pos.,1"",500",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4497,UXST-SS8-58-350,EA,"UXST,Set Screw Strght Bar 8Pos,5/8"",350",UXST,0.0544,0.0544,0.1088,$0.61,$0.29,$7.34
CU-4498,XCO-15-100-10,EA,"XCO,15kV,100 Amp,10kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4499,XCO-15-100-16,EA,"XCO,15kV,100 Amp,16kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4500,XCO-15-100-7,EA,"XCO,15kVPolymer,100 Amp,7kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4501,XCO-15-200-10,EA,"XCO,15kV,200 Amp,10kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4502,XCO-15P-100-10,EA,"XCO,15kVPolymer,100 Amp,10kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4503,XCO-15P-100-5,EA,"XCO,15kV Porcelain,100 Amp,5kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4504,XCO-15P-200-7,EA,"XCO,15kV Porcelain,200 Amp,7kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4505,XCO-27-100-12,EA,"XCO,27kV,100 Amp,12kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4506,XCO-27-100-12-C,EA,"XCO,27kV,100 Amp,12kA,Corrosive",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4507,XCO-27-100-8,EA,"XCO,27kV Polymer,100 Amp,8kA",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
CU-4508,XCO-27-100-8-C,EA,"XCO,27kV Polymer,100 Amp,8kA, Corrosive",CO,0.2560,0.1280,0.3520,$62.42,$26.52,$80.50
