CU WBS #,CU,Unit Of Measure,Description,Compatible Unit Group,Install Hours,Removal Hours,Transfer Hours,Install Price,Removal Price,Transfer Price
CU-1,ADDITEM-ROW-PURCHASE,EA,"Additional Item, Right of Way, Purchase",MO,N/A,N/A,N/A,$0.00,$0.00,$0.00
CU-2,ALB-6-AUR1,EA,"ALB,6ft Alum Upsweep,Round 1 1/4"" Dia",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-3,ALB-C-2-S-2-F,EA,"ALB,Conc,2Ft,Steel,2P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-4,ALB-C-S-1-F,EA,"ALB,Conc,Steel,1P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-5,ALB-C-S-2-F,EA,"ALB,Conc,Steel,2P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-6,ALB-C-S-3-F,EA,"ALB,Conc,Steel,3P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-7,ALB-C-S-4-F,EA,"ALB,Conc,Steel,4P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-8,ALB-F-S-1-S-BR,EA,"ALB,Fbgls,Steel,1P,Shoebox,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-9,ALB-F-S-2-F-BR,EA,"ALB,Fbgls,Steel,2P,Flood,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-10,ALB-F-S-2L-S-BR,EA,"ALB,Fbgls,Steel,2PL,Shoebox,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-11,ALB-F-S-3-F,EA,"ALB,Fbgls,Steel,3P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-12,ALB-F-S-3-S-BR,EA,"ALB,Fbgls,Steel,3P,Shoebox,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-13,ALB-F-S-4-F,EA,"ALB,Fbgls,Steel,4P,Flood",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-14,ALB-F-S-4-F-BR,EA,"ALB,Fbgls,Steel,4P,Flood,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-15,ALB-F-S-4-S-BR,EA,"ALB,Fbgls,Steel,4P,Shoebox,Brnz",LB,0.1280,0.0800,0.1600,$51.05,$37.03,$118.38
CU-16,ALB-W-1-S-1-F,EA,"ALB,Wood,1ft,Steel,1P,Flood",LB,0.1440,0.0800,0.2080,$51.05,$37.03,$118.38
CU-17,ALB-W-10-S-1-A,EA,"ALB,Wood,10ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-18,ALB-W-12-S-1-A,EA,"ALB,Wood,12ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-19,ALB-W-14-S-1-A,EA,"ALB,Wood,14ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-20,ALB-W-16-S-1-A,EA,"ALB,Wood,16ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-21,ALB-W-18-A-1-F,EA,"ALB,Wood mnt,18 in ,Alum,1Pos, Flood",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-22,ALB-W-30-A-1-A,EA,"ALB,Wood,30in,Alum,1P,Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-23,ALB-W-30-S-1-A,EA,"ALB,Wood,30in,Steel,1P,Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-24,ALB-W-4-S-1-A,EA,"ALB,Wood,4ft,Steel,1P,Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-25,ALB-W-6-A-1-A,EA,"ALB, Wood mnt,6 ft,alum ,1 pos., Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-26,ALB-W-6-S-1-A,EA,"ALB,Wood,6ft,Steel,1P,Area",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-27,ALB-W-8-S-1-A,EA,"ALB,Wood,8ft,Steel,1P,Area",LB,0.4800,0.2560,0.7840,$51.05,$37.03,$118.38
CU-28,ALB-W-S-2-F-BR,EA,"ALB,Wood,Steel,2P,Flood,Brnz",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-29,ALB-W-S-3-F-BR,EA,"ALB,Wood,Steel,3P,Flood,Brnz",LB,0.3200,0.1760,0.5760,$51.05,$37.03,$118.38
CU-30,ALB-W-S-A-F,EA,"ALB,Wood,Steel,Adpt,Flood",LB,0.1440,0.0800,0.2080,$51.05,$37.03,$118.38
CU-31,ALT-100-S-D-120-PC-GR,EA,"ALT,100,Sodium,Decortv,120,PstCntp,Grey",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-32,ALT-100-S-D-120-PT-BK,EA,"ALT,100,Sodium,Decortv,120,PstTrad,BlcK",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-33,ALT-100-S-E-120-SF,EA,"ALT,100,Sodium,Enclose,120,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-34,ALT-100-S-F-120-PT-BK,EA,"ALT,100,Sodium,Flood,120,PstTrad,BlcK",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-35,ALT-100-S-F-120-SF-GR,EA,"ALT,100,Sodium,Flood,120,SlipFit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-36,ALT-100-S-F-120-YK-GR,EA,"ALT,100,Sodium,Flood,120,Yoke,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-37,ALT-100-S-O-120-SF,EA,"ALT,100,Sodium,Open,120,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-38,ALT-100-S-S-120-SF-BZ,EA,"ALT,100,Sodium,Shoebox,120,SlipFit,BrnZ",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-39,ALT-100-SFMSG,EA,"100W,HPS,Fld,Slip-Fit,Multi-Volt,Gray",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-40,ALT-100-SFYG,EA,"100W 120V Sodium Floodligt, Yoke, Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-41,ALT-100-SOH,EA,"ALT,100,Sodium,Open,120,SlipFit, hd",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-42,ALT-100-SOHC,EA,"ALT,100,Sodium,Open,120,SlipFit,hd,ctoff",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-43,ALT-100-SOP,EA,"ALT,100,Sodium,Open,120,SlipFit, pkg",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-44,ALT-100-SOPC,EA,"ALT,100,Sodium,Open,120,SlipFt,pkg,ctoff",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-45,ALT-100-SPBC,EA,"100W 120V Sodium PostTop,Black,Contempry",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-46,ALT-100-SPBC4,EA,"100W 480V Sodium PostTop,Black,Contempry",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-47,ALT-100-SPBT,EA,"100W 120V Sodium Post-Top,Blk,Traditionl",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-48,ALT-100-SPGC,EA,"100W 120V Sodium Post-Top,Grey,Contempry",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-49,ALT-100-SPGT,EA,"100W 120V Sodium PostTop,Grey,Traditionl",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-50,ALT-100-SR,EA,100W 120V Sodium Roadway Refractor,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-51,ALT-100-SRC,EA,100W 120V Sodium Roadway Cutoff Refracto,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-52,ALT-100-SSSZ,EA,"100W 120V Sodium Shoebox, Slip-fit, Brz",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-53,ALT-1000-HFMSG,EA,"1000W Halide Fldlt MultiVolt,Slipfit,Gry",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-54,ALT-1000-HFMSZ,EA,"1000W  Halide FldltMultiVolt,Slipfit,Brz",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-55,ALT-1000-HFMYG,EA,"1000W MultiVolt Halide Fldlgt,Yoke,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-56,ALT-1000-HFYG,EA,"1000W  Halide Floodligt 120V, Yoke, Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-57,ALT-1000-HSMAG,EA,"1000W Halide Shoebox Multi-Volt, Arm, Gr",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-58,ALT-1000-MFMYG,EA,"1000W MultiVolt Mercury Fldlgt,Yoke,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-59,ALT-1000-MFYG,EA,"1000W  Mercury Floodligt120V, Yoke, Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-60,ALT-1000-SFMSG,EA,"1000W Sodium Fldlt MultiVolt,Slipfit,Gre",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-61,ALT-150-HPBTL,EA,"175W 120V MH PostTop,BLK,Traditional,Pul",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-62,ALT-150-HRSGL,EA,"150W 120V MH Roadway Slipfit Gray, Pulse",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-63,ALT-150-S-D-120-PC-BK,EA,"ALT,150,Sodium,Decortv,120,PstCntp,BlcK",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-64,ALT-150-S-D-120-PC-GR,EA,"ALT,150,Sodium,Decortv,120,PstCntp,Grey",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-65,ALT-150-S-D-120-PT-BK,EA,"ALT,150,Sodium,Decortv,120,PstTrad,BlcK",LT,0.3360,0.2240,0.0000,$76.75,$54.35,$128.82
CU-66,ALT-150-S-E-120-SF,EA,"ALT,150,Sodium,Enclose,120,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-67,ALT-150-S-E-M-SF,EA,"ALT,150,Sodium,Enclose,Mult,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-68,ALT-150-S-F-120-SF-GR,EA,"ALT,150,Sodium,Flood,120,SlipFit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-69,ALT-150-S-O-120-SF,EA,"ALT,150,Sodium,Open,120,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-70,ALT-150-SFMSG,EA,"150W,HPS,Fld,Slip-Fit,Multi-Volt,Gray",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-71,ALT-150-SFSG,EA,"150W 120V Sodium Floodligt, Slip-fit, Gr",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-72,ALT-150-SOH,EA,"ALT,150,Sodium,Open,120,SlipFit, hd",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-73,ALT-150-SOP,EA,"ALT,100,Sodium,Open,120,SlipFit, pkg",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-74,ALT-150-SPBC,EA,"150W 120V Sodium PostTop,Black,Contempry",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-75,ALT-150-SPBT,EA,"150W 120V Sodium PostTop,Blk,Traditionl",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-76,ALT-150-SPGC,EA,"150W 120V Sodium Post-Top,Grey,Contempry",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-77,ALT-150-SPGT,EA,"150W 120V Sodium PostTop,Grey,Traditionl",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-78,ALT-150-SR,EA,150W 120V Sodium Roadway Refractor,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-79,ALT-150-SRC,EA,150W 120V Sodium Roadway Cutoff Refracto,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-80,ALT-150-SRM,EA,150W Multi-Volt Sodium Roadway Refractor,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-81,ALT-150-SSMAG,EA,"150W Multi-Volt Sodium Shoebox, Arm,Grey",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-82,ALT-175-HPGCL,EA,"175W 120V MH PostTop,Grey,Contempry,Puls",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-83,ALT-175-HRSG,EA,175W 120V Halide Roadway Slipfit Gray,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-84,ALT-175-HRSG12,EA,175W 120/240V Halide Roadwy Slipfit Gray,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-85,ALT-175-M-O-120-SF,EA,"ALT,175,MercVp,Open,120,SlipFit",LT,0.3360,0.2240,0.5280,$76.75,$54.35,$128.82
CU-86,ALT-1K-H-F-208-SF-BZ,EA,"ALT,1K,Mhalid,Flood,208,SlipFit,BrnZ",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-87,ALT-1K-H-F-M-SF-GR,EA,"ALT,1K,Mhalid,Flood,Mult,SlipFit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-88,ALT-1K-H-F-M-YK-GR,EA,"ALT,1K,Mhalid,Flood,Mult,Yoke,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-89,ALT-1K-H-S-120-SF-BZ,EA,"ALT,1K,Mhalid,Shoebox,120,SlipFit,BrnZ",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-90,ALT-1K-S-F-M-SF-GR,EA,"ALT,1K,Sodium,Flood,Mult,SlipFit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-91,ALT-200-S-E-120-SF,EA,"ALT,200,Sodium,Enclose,120,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-92,ALT-200-S-F-120-YK-GR,EA,"ALT,200,Sodium,Flood,120,Yoke,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-93,ALT-200-SFYG,EA,"200W 120V Sodium Floodligt, Yoke, Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-94,ALT-200-SOF,EA,"ALT,200W,Sodium Open bottom Flxbrkt",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-95,ALT-200-SR,EA,200W 120V Sodium Roadway Refractor,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-96,ALT-200-SR4,EA,200W 480V Sodium Roadway Refractor,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-97,ALT-200-SRC,EA,200W 120V Sodium Roadway Cutoff Refracto,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-98,ALT-200-SRM,EA,200W Multi-Volt Sodium Roadway Refractor,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-99,ALT-200-SSSZ,EA,"200W 120V Sodium Shoebox, Slip-fit, Bron",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-100,ALT-250-H-F-M-SF-GR,EA,"ALT,250,Mhalid,Flood,Mult,SlipFit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-101,ALT-250-HFMSGL,EA,"250W MultiVolt MH Fldlt,Slipfit,Gre,Puls",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-102,ALT-250-HFSG,EA,"250W 120V Halide Floodligt,Slip-fit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-103,ALT-250-HFYGL,EA,"250W 120V MH Floodligt,Yoke,Grey,Pulse",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-104,ALT-250-HRSG12,EA,250W 120/240V Halide Roadwy Slipfit Gray,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-105,ALT-250-HSMAG,EA,"250W Multi-Volt Halide Shoebox, Arm, Gre",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-106,ALT-250-S-E-120-SF,EA,"ALT,250,Sodium,Enclose,120,SlipFit",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-107,ALT-250-S-F-120-SF-GR,EA,"ALT,250,Sodium,Flood,120,SlipFit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-108,ALT-250-S-F-120-YK-GR,EA,"ALT,250,Sodium,Flood,120,Yoke,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-109,ALT-250-S-S-120-SF-BZ,EA,"ALT,250,Sodium,Shoebox,120,SlipFit,BrnZ",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-110,ALT-250-SFMSG,EA,"250W MultiVolt Sodium Fldlt,Slipfit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-111,ALT-250-SFSG,EA,"250W 120V Sodium Floodligt,Slipfit, Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-112,ALT-250-SFYG,EA,"250W 120V Sodium Floodligt, Yoke, Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-113,ALT-250-SOPP,EA,"ALT,250,Sodm,Open,120,SlipFit,pkg, Pbkt",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-114,ALT-250-SPBTM,EA,"250W Sodium PostTop, Black,Trad,MultiTap",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-115,ALT-250-SR,EA,250W 120V Sodium Roadway Refractor,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-116,ALT-250-SR4,EA,250W 480V Sodium Roadway Refractor,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-117,ALT-250-SRC,EA,250W 120V Sodium Roadway Cutoff Refracto,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-118,ALT-250-SRC4,EA,250W 480V Sodium Roadway Cutoff Refracto,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-119,ALT-250-SRCM,EA,250W Multi-Volt Sodium Roadway Cutoff Re,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-120,ALT-250-SRM,EA,250W Multi-Volt Sodium Roadway Refractor,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-121,ALT-250-SSMAG,EA,"250W Multi-Volt Sodium Shoebox, Arm,Grey",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-122,ALT-250-SSSZ,EA,"250W 120V Sodium Shoebox, Slip-fit, Bron",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-123,ALT-400-HFMSGL,EA,"400W MultiVolt MH Fldlt,Slipfit,Grey,Pul",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-124,ALT-400-HFSG,EA,"400W 120V Halide Floodligt,Slip-fit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-125,ALT-400-HFSZL,EA,"400W 120V MH Floodligt,Slipfit,Brz,Pulse",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-126,ALT-400-HFYGL,EA,"400W 120V MH Floodligt,Yoke,Grey,Pulse",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-127,ALT-400-HRM,EA,400W Multi-Volt Halide Roadway Refractor,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-128,ALT-400-HRML,EA,"400W Multi-Volt MH Roadway Refractor,Pul",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-129,ALT-400-HRSG4L,EA,"400W 480V MH Roadway Slipfit Gray, Pulse",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-130,ALT-400-HRSGL,EA,"400W 120V MH Roadway Slipfit Gray, Pulse",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-131,ALT-400-HSMAGL,EA,"400W Multi-Volt MH Shoebox,Arm,Gre,Pulse",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-132,ALT-400-HSSZL,EA,"400W 120V MH Shoebox,Slip-fit,Brz,Pulse",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-133,ALT-400-S-E-120-SF,EA,"ALT,400,Sodium,Enclose,120,SlipFit",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-134,ALT-400-S-F-120-SF-BZ,EA,"ALT,400,Sodium,Flood,120,SlipFit,BrnZ",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-135,ALT-400-S-F-120-SF-GR,EA,"ALT,400,Sodium,Flood,120,SlipFit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-136,ALT-400-S-F-120-YK-GR,EA,"ALT,400,Sodium,Flood,120,Yoke,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-137,ALT-400-S-F-480-SF-BZ,EA,"ALT,400,Sodium,Flood,480,SlipFit,BrnZ",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-138,ALT-400-S-S-120-SF-BZ,EA,"ALT,400,Sodium,Shoebox,120,SlipFit,BrnZ",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-139,ALT-400-SFMSG,EA,"400W MultiVolt Sodium Fldlt,Slipfit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-140,ALT-400-SFSG,EA,"400W 120V Sodium Floodligt,Slip-fit,Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-141,ALT-400-SFSZ,EA,"400W 120V Sodium Floodligt,Slip-fit, Brz",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-142,ALT-400-SFYG,EA,"400W 120V Sodium Floodligt, Yoke, Grey",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-143,ALT-400-SOF,EA,"ALT,400W,Sodium Open bottom Flxbrkt",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-144,ALT-400-SR,EA,400W 120V Sodium Roadway Refractor,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-145,ALT-400-SR4,EA,400W 480V Sodium Roadway Refractor,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-146,ALT-400-SRC,EA,400W 120V Sodium Roadway Cutoff Refracto,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-147,ALT-400-SRM,EA,400W Multi-Volt Sodium Roadway Refractor,LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-148,ALT-400-SSMAG,EA,"400W Multi-Volt Sodium Shoebox, Arm,Grey",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-149,ALT-400-SSSZ,EA,"400W 120V Sodium Shoebox, Slip-fit, Brz",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-150,ALT-70-SOH,EA,"ALT,70,Sodium,Open,120,SlipFit, hd",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-151,ALT-70-SOP,EA,"ALT,70,Sodium,Open,120,SlipFit, pkg",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-152,ALT-70-SPBT,EA,"70W 120V Sodium Post-Top,Blk,Traditional",LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-153,ALT-70-SR,EA,70W 120V Sodium Roadway Refractor,LT,0.3680,0.2400,0.5920,$76.75,$54.35,$128.82
CU-154,ALT-LED-DD-4K-T5-6L-SF,EA,"6000L,LED,Dusk to Dawn,4K,Typ5,SlipFit",LT,N/A,N/A,N/A,$76.75,$54.35,$128.82
CU-155,ALT-LED-DD-T5-5L-NDR-SF,EA,"5000L,LED,Type5,NoDropRefractor,Slip Fit",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-156,ALT-LED-DD-T5-5L-SF,EA,"5200L LED, Type 5, Dusk to Dawn",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-157,ALT-LED-FL-76-18L-SF-BK,EA,"18.8kL LED,7x6 Slipfit,cable-back ,Flood",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-158,ALT-LED-FL-76-18L-SF-TN,EA,"18.8kL LED,7x6 SlipFt, cable-tenon,Flood",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-159,ALT-LED-FL-76-18L-YK,EA,"18.8kL LED, 7x6 Yoke, Flood",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-160,ALT-LED-FL-76-37L-SF-BK,EA,"37.8kL LED,7x6 Slipfit,cables-back,Flood",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-161,ALT-LED-FL-76-37L-SF-TN,EA,"37.8kL LED,7x6 Slipft,cable-tenon,Flood",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-162,ALT-LED-FL-76-45L-YK,EA,"45000 Lumens, LED, 7x6, Flood, Yoke",LT,0.5280,0.3680,0.8000,$76.75,$54.35,$128.82
CU-163,ALT-LED-PTAR-T3-6L-SF-B,EA,"6000L,LED,Type3,PostTop,Arlington,Black",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-164,ALT-LED-PTCA-T3-5L-SF,EA,"5000L, LED, Type3,PostTop,Carriage Style",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-165,ALT-LED-PTCA-T3-7L-SF,EA,"7000L, LED, Type3,PostTop,Carriage Style",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-166,ALT-LED-PTCA-T3-9L-SF,EA,"9000L, LED, Type3,PostTop,Carriage Style",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-167,ALT-LED-PTCA-T5-5L-SF,EA,"5000L, LED, Type5,PostTop,Carriage Style",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-168,ALT-LED-PTCA-T5-7L-SF,EA,"7000L, LED, Type5,PostTop,Carriage Style",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-169,ALT-LED-PTD1-T3-8L-SF,EA,"8300L LED, Type 3, Decorative Post Top",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-170,ALT-LED-PTD2-T5-8L-SF,EA,"8300L LED, Type 5, Decorative Post Top",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-171,ALT-LED-PTGV4K-T3-5L-SF-B,EA,"5000L,LED,T3,PostTopGranville4K,SF,Black",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
CU-172,ALT-LED-PTGV4K-T3-5L-SF-G,EA,"5000L,LED,T3,PostTopGranville4K,SF,Gold",LT,0.4000,0.2720,0.6560,$76.75,$54.35,$128.82
